Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
174000,1.4326231,-0.035928007,0.0069595384,0.06706488,0.00021408456,0.1713615,0.0035709392,495.55555555555554,-1.15630002617836,-1.15630002617836,1.0
180000,1.4329765,-0.012642591,0.005413935,0.067546606,0.00021147855,0.17049283,0.0035275926,527.8888888888889,-1.195555599199401,-1.195555599199401,1.0
186000,1.4337362,-0.047766563,0.007532744,0.08014416,0.00020885938,0.16961975,0.0034840268,468.9,-1.169900046288967,-1.169900046288967,1.0
192000,1.4365762,-0.025196109,0.004271072,0.07696294,0.00020574672,0.16858222,0.0034322527,678.375,-1.5543750757351518,-1.5543750757351518,1.0
198000,1.4366521,-0.0243461,0.0051007126,0.06672227,0.00020261556,0.16753851,0.0033801713,803.2857142857143,-1.66142866228308,-1.66142866228308,1.0
204000,1.4356126,-0.032020602,0.007697187,0.07154184,0.0001994954,0.16649844,0.0033282721,671.5,-1.3867857748908656,-1.3867857748908656,1.0
210000,1.4375026,-0.022579947,0.006458376,0.06754515,0.00019635954,0.16545315,0.0032761132,459.5,-1.1271667095522087,-1.1271667095522087,1.0
216000,1.4354669,-0.021519635,0.003987705,0.06264234,0.00019325489,0.16441828,0.0032244718,977.6666666666666,-1.4231111995047994,-1.4231111995047994,1.0
222000,1.43395,-0.019433234,0.0040715933,0.06657633,0.00019013589,0.16337861,0.0031725925,404.5,-1.238833386451006,-1.238833386451006,1.0
228000,1.4302216,-0.03938402,0.004906263,0.06762377,0.00018752404,0.162508,0.0031291489,800.3076923076923,-1.57053854316473,-1.57053854316473,1.0
234000,1.4313675,-0.02727957,0.008132855,0.075444914,0.00018492655,0.16164218,0.003085944,571.6666666666666,-1.2393333895338907,-1.2393333895338907,1.0
240000,1.4361234,-0.02725549,0.0074209683,0.06874224,0.00018180221,0.16060072,0.003033976,496.2307692307692,-1.2600833779821794,-1.2600833779821794,1.0
246000,1.4344143,-0.03610868,0.0041526495,0.065180145,0.00017866872,0.15955622,0.0029818555,720.1111111111111,-1.3833000399172306,-1.3833000399172306,1.0
252000,1.4358425,-0.014959032,0.0039730906,0.06874762,0.00017556355,0.15852116,0.002930206,534.1666666666666,-1.3685000948607922,-1.3685000948607922,1.0
258000,1.4373215,-0.025024416,0.006416703,0.06598409,0.00017247554,0.15749185,0.0028788422,621.0,-1.622000079602003,-1.622000079602003,1.0
264000,1.4368895,-0.033536408,0.0042204736,0.063742034,0.00016934339,0.15644778,0.002826744,700.5714285714286,-1.4158571788242884,-1.4158571788242884,1.0
270000,1.4368871,-0.024400491,0.006978329,0.0751232,0.00016620955,0.15540315,0.0027746179,726.4,-1.3274000458419324,-1.3274000458419324,1.0
276000,1.4382315,-0.028828414,0.005195965,0.06844652,0.0001631019,0.15436727,0.0027229271,527.4,-1.228400032967329,-1.228400032967329,1.0
282000,1.4370683,-0.028078977,0.0038616017,0.06944533,0.00016048255,0.15349418,0.002679359,851.7777777777778,-1.6305556429757013,-1.6305556429757013,1.0
288000,1.4346324,-0.034875054,0.0054850527,0.06956617,0.00015785807,0.15261932,0.002635705,647.125,-1.3981250571087003,-1.3981250571087003,1.0
294000,1.4344248,-0.036730256,0.0052041304,0.0607368,0.00015471457,0.1515715,0.0025834178,540.2307692307693,-1.3873846639807408,-1.3873846639807408,1.0
300000,1.434304,-0.026884625,0.006510748,0.07537224,0.00015160705,0.15053566,0.0025317296,408.3333333333333,-1.326000051572919,-1.326000051572919,1.0
306000,1.4345645,-0.03131847,0.002883724,0.064281374,0.00014849554,0.1494985,0.002479975,633.2857142857143,-1.491428628563881,-1.491428628563881,1.0
312000,1.4366018,-0.037774745,0.0054467213,0.06683714,0.00014533773,0.14844589,0.0024274494,714.8181818181819,-1.3521818633783946,-1.3521818633783946,1.0
318000,1.4364083,-0.011898395,0.004861443,0.071686745,0.00014221341,0.14740445,0.0023754817,384.2857142857143,-1.2424286295260702,-1.2424286295260702,1.0
